Account Name,Website,Billing State/Province,Opportunity Owner,Close Date,Est. Annual Construction Volume Range,USD Total Delta ARR,# of Pipeline Opps,Entry Channel (Category)
Dick Building Co,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.dickbuilds.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.dickbuilds.com/ (New Window)"">http://www.dickbuilds.com/</a>",PA,William Copa,3/29/2024,50M-100M,"11,010.30",9,Outbound
Cain & One,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fcainandone.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://cainandone.com (New Window)"">http://cainandone.com</a>",GA,John Gullberg,3/29/2024,Less than 5M,"5,856.00",2,Inbound
"LAI Construction Management, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Flaidesignassoc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://laidesignassoc.com (New Window)"">http://laidesignassoc.com</a>",FL,Jason McNiff,3/29/2024,10M-20M,"21,295.00",2,Outbound
Russell Contracting LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Frussellcontracting.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://russellcontracting.com (New Window)"">http://russellcontracting.com</a>",MS,William Copa,3/29/2024,Less than 5M,"12,690.50",4,Inbound
"Caliber Building Company, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fcaliber-building.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://caliber-building.com/ (New Window)"">https://caliber-building.com/</a>",OH,DJ Ryder,3/29/2024,Less than 5M,"9,762.00",2,Outbound
360 Construction Group Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2F360cginc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://360cginc.com (New Window)"">http://360cginc.com</a>",CA,John Gullberg,3/29/2024,20M-50M,"17,976.00",2,Outbound
Sintek North America,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fsintekbv.eu%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://sintekbv.eu (New Window)"">http://sintekbv.eu</a>",TX,Anthony Oliveri,3/29/2024,10M-20M,"18,664.00",1,Inbound
GP US Construction LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fluisandluigiconcrete.us%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://luisandluigiconcrete.us/ (New Window)"">http://luisandluigiconcrete.us/</a>",FL,Bella Yaggie,3/28/2024,5M-10M,"9,669.00",2,Inbound
Axis Builders & Remodelers,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Faxis-br.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://axis-br.com/ (New Window)"">https://axis-br.com/</a>",MN,Terence McNair,3/28/2024,5M-10M,"8,320.80",3,Outbound
Bhogal Brothers Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbhogalbros.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://bhogalbros.com/ (New Window)"">http://bhogalbros.com/</a>",CA,Caoilinn Mcdonough,3/28/2024,5M-10M,"10,000.08",3,Outbound
Graycon Building Group,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fgrayconbg.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://grayconbg.com/ (New Window)"">https://grayconbg.com/</a>",KS,Anthony Oliveri,3/27/2024,5M-10M,"9,669.00",4,Inbound
"Pointe Companies, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.pointe-usa.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.pointe-usa.com (New Window)"">http://www.pointe-usa.com</a>",AZ,DJ Ryder,3/27/2024,5M-10M,"12,076.80",1,Inbound
Vanguard Building Corporation LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fvanguardcolv.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://vanguardcolv.com (New Window)"">http://vanguardcolv.com</a>",NV,Lula Naranjo,3/26/2024,10M-20M,"31,001.13",1,Inbound
Wiley Hicks Jr Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.whjrinc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.whjrinc.com/ (New Window)"">http://www.whjrinc.com/</a>",TX,Lula Naranjo,3/26/2024,50M-100M,"41,156.62",5,Outbound
The Charles Morgan Group,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.tmgconst.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.tmgconst.com (New Window)"">http://www.tmgconst.com</a>",TX,Caoilinn Mcdonough,3/25/2024,Less than 5M,"53,977.33",1,Inbound
Lee Industrial Contracting,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.leecontracting.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.leecontracting.com/ (New Window)"">http://www.leecontracting.com/</a>",MI,Justin Garelick,3/25/2024,250M-500M,"424,999.64",3,Inbound
Leon Williams Contractors  LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.lwcontractorstn.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.lwcontractorstn.com (New Window)"">http://www.lwcontractorstn.com</a>",TN,John Gullberg,3/25/2024,5M-10M,"11,905.00",3,Outbound
Life Assets LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Flifeassets.net%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://lifeassets.net (New Window)"">http://lifeassets.net</a>",NJ,Javier Gutierrez,3/25/2024,10M-20M,"10,476.40",3,Outbound
"George W. Reagan Company, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.gwreagan.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.gwreagan.com/ (New Window)"">http://www.gwreagan.com/</a>",TN,Terence McNair,3/22/2024,20M-50M,"41,656.71",3,Outbound
"7 Summits Construction, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2F7summitscc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://7summitscc.com/ (New Window)"">http://7summitscc.com/</a>",CT,Thomas Wright,3/22/2024,5M-10M,"15,762.00",3,Inbound
TOP ROCK DEVELOPMENT,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ftoprock-ny.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://toprock-ny.com (New Window)"">http://toprock-ny.com</a>",NY,William Copa,3/22/2024,Less than 5M,"9,569.00",2,Outbound
"G. Donovan Associates, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgdonovan.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://gdonovan.com (New Window)"">http://gdonovan.com</a>",CT,Terence McNair,3/21/2024,10M-20M,"13,841.52",4,Outbound
The Container Store,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.containerstore.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.containerstore.com/ (New Window)"">https://www.containerstore.com/</a>",TX,Daniel Alford,3/21/2024,250M-500M,"19,782.63",2,Outbound
"Tidal Builders, Inc","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ftidalbuildersinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://tidalbuildersinc.com (New Window)"">http://tidalbuildersinc.com</a>",FL,Joey Prowler,3/21/2024,10M-20M,"10,277.00",1,Outbound
Daxon Construction - HQ,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.daxonconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.daxonconstruction.com (New Window)"">http://www.daxonconstruction.com</a>",IA,Joey Prowler,3/21/2024,5M-10M,"7,437.00",6,Outbound
APX Construction Group,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.apxconstructiongroup.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.apxconstructiongroup.com/ (New Window)"">http://www.apxconstructiongroup.com/</a>",MN,Sean McGee,3/21/2024,50M-100M,"53,599.33",5,Outbound
Krieghoff Lenawee Company,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fkrieghofflenawee.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://krieghofflenawee.com/ (New Window)"">http://krieghofflenawee.com/</a>",MI,Terence McNair,3/19/2024,20M-50M,"31,641.23",2,Inbound
Bob Morrow Construction Company Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbmccinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://bmccinc.com (New Window)"">http://bmccinc.com</a>",AL,Daniel Alford,3/18/2024,5M-10M,"47,340.94",2,Outbound
"EA Engineering, Science, and Technology, Inc - CA","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Feaest.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://eaest.com (New Window)"">http://eaest.com</a>",WA,Jacob Weaver,3/18/2024,20M-50M,"24,611.44",2,Inbound
Brock Builders - North Lima,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fitsbrockbuilt.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://itsbrockbuilt.com (New Window)"">http://itsbrockbuilt.com</a>",OH,Max Morgenson,3/15/2024,10M-20M,"20,424.89",1,Inbound
Garrett Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgarrettcorp.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://garrettcorp.com (New Window)"">http://garrettcorp.com</a>",CA,Max Morgenson,3/15/2024,10M-20M,"30,030.20",2,Outbound
Parnes Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fparnesconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://parnesconstruction.com (New Window)"">http://parnesconstruction.com</a>",TX,Joey Prowler,3/15/2024,Less than 5M,"7,800.00",1,Inbound
Roof and Realm - HQ,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Froofandrealm.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://roofandrealm.com (New Window)"">http://roofandrealm.com</a>",CA,William Copa,3/14/2024,5M-10M,"5,603.20",2,Inbound
C.R. Wilson Construction Co. Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.crwcci.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.crwcci.com (New Window)"">http://www.crwcci.com</a>",FL,Ashley Laden,3/13/2024,5M-10M,"11,460.00",2,Inbound
Monarca Renovations LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fmonarcareno.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://monarcareno.com (New Window)"">http://monarcareno.com</a>",GA,Jason McNiff,3/13/2024,20M-50M,"11,521.00",1,Outbound
David Kameron Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2FNo%20Website%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://No Website (New Window)"">http://No Website</a>",NM,Greg Jackey,3/12/2024,Less than 5M,"11,441.10",2,Outbound
"Catena Construction, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.sprocketdb.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.sprocketdb.com (New Window)"">http://www.sprocketdb.com</a>",CO,DJ Ryder,3/11/2024,20M-50M,"25,233.91",4,Outbound
Diversified Construction,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.divconllc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.divconllc.com/ (New Window)"">https://www.divconllc.com/</a>",MA,John Gullberg,3/11/2024,5M-10M,"10,401.00",2,Inbound
"Chad Brown Residential, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.theoldstate.com%2Fportfolio%2Fchad-brown-residential%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.theoldstate.com/portfolio/chad-brown-residential (New Window)"">https://www.theoldstate.com/portfolio/chad-brown-residential</a>",TX,Jacob Mickle,3/8/2024,5M-10M,"9,967.00",1,Outbound
The McKnight Group,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.mcknightgroup.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.mcknightgroup.com (New Window)"">http://www.mcknightgroup.com</a>",OH,Terence McNair,3/8/2024,10M-20M,"29,281.11",2,Outbound
Hoskinson Contracting,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fhoskinsoncontracting.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://hoskinsoncontracting.com (New Window)"">http://hoskinsoncontracting.com</a>",WY,Javier Gutierrez,3/8/2024,5M-10M,"113,990.70",1,Outbound
"East Coast Construction Group, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Feccbuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://eccbuilders.com (New Window)"">http://eccbuilders.com</a>",FL,Sean McGee,3/6/2024,Less than 5M,"9,669.24",1,Inbound
Prestige Construction and Management,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2FPrestigeGroupConstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://PrestigeGroupConstruction.com (New Window)"">http://PrestigeGroupConstruction.com</a>",NJ,Max Morgenson,3/6/2024,5M-10M,"11,269.20",1,Inbound
"N&T Construction Co., Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.nandtconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.nandtconstruction.com (New Window)"">http://www.nandtconstruction.com</a>",TX,DJ Ryder,3/6/2024,10M-20M,"18,368.99",2,Inbound
Workman Constructors,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fworkgc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://workgc.com (New Window)"">http://workgc.com</a>",CA,Max Morgenson,3/6/2024,10M-20M,"16,735.78",2,Inbound
